ORG_CODE_ID,ORG_NAME,TRANSFER_EVENT_ID,TRANSFER_EVENT_TYPE,TRANSFER_COURSE_NAME,MMU_EVENT_ID,MMU_EVENT_TYPE,MMU_COURSE_NAME
"O000040428","North Iowa Area Community College","BCA292","Lecture","Media Tools for the Web","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO 190","Lecture","Intro Biotechnology","BI 008","Lecture","Natural World Domain"
"O000040428","North Iowa Area Community College","BCA924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA294","Lecture","Multimedia Projects","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA767","Lecture","Adobe Acrobat","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS178","Lecture","How to Deliver Winning Presentations","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS182","Lecture","Intro to Law","BA 203","Lecture","Principles Of Law I"
"O000040428","North Iowa Area Community College","BUS172","Lecture","Business Plan Development","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS146","Lecture","Small Business Plan Strategies","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS151","Lecture","Introduction to E-Commerce","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS185","Lecture","Business Law I","BA 203","Lecture","Principles Of Law I"
"O000040428","North Iowa Area Community College","BUS192","Lecture","Professionalism IV: DEX/DECA","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS193","Lecture","Business Leadership Development","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS190","Lecture","Professionalism: BPA","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS187","Lecture","Law and Banking Principles","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS189","Lecture","Law and Banking Applications","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BUS102","Lecture","Intro to Business","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO189","Lecture","Microbes & Society","BI 008","Lecture","Natural World Domain"
"O000040428","North Iowa Area Community College","BIO195","Lecture","Human Evolution","BI 008","Lecture","Natural World Domain"
"O000040428","North Iowa Area Community College","BIO188","Lecture","Microbiology / Biotechnology Laboratory","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BIO182","Lecture","Basic Microbiology","OT","Lecture","Generic Course"
